Id,Prediction
0,4526139.384445245
1,3575287.7732582954
2,3766722.0774154644
3,3388752.3632166004
4,3730735.9378932025
5,4556957.711683229
6,4034514.5120477816
7,3768670.030924905
8,4858331.971364177
9,3888985.0272199893
10,4428133.619185001
11,4434038.330101442
12,5083795.214600208
13,5092098.959163938
14,4022560.06769233
15,4832227.968130063
16,4558560.881903781
17,3508453.960885099
18,5018588.95641263
19,3716868.092197218
20,2964713.613594412
21,4892143.560964911
22,4370313.161680525
23,4721577.721204278
24,4786807.158650188
25,4376381.240661946
26,4043546.0589111317
27,4428300.935710162
28,3644659.998442039
29,4856796.65570816
30,4216250.282058237
31,3104694.4438902847
32,3705446.030356789
33,4688783.514863156
34,3421461.8622185867
35,4331136.748677249
36,3949893.8589496003
37,4318000.07652074
38,3657477.7102306844
39,3914181.9920898243
40,4841594.704691558
41,4410441.659786257
42,4503393.1168782255
43,4913965.663726261
44,4779528.424198516
45,4059088.9580786657
46,3512919.9418749376
47,2897775.9063693946
48,4755942.741853757
49,4195744.378942386
50,4475554.853991125
51,3662017.714372916
52,4827739.532017185
53,3264038.1102318363
54,3955450.163941388
55,4502607.829914973
56,4615390.877670001
57,3855080.2668240247
58,4606334.672683543
59,4616876.442516641
60,3248941.894829645
61,4081108.655815091
62,4145169.4941648245
63,4281864.789045317
64,4500321.4959486835
65,5249108.782665063
66,4332618.362188461
67,5557486.218262818
68,5014321.9578941
69,4707961.484084077
70,4291042.853922658
71,3206722.9121789313
72,4379721.048679823
73,3680199.4733539363
74,4830100.089871425
75,4395804.960752369
76,4441271.941908553
77,3958860.2994864574
78,4509482.441800806
79,4354539.689134369
80,4808626.358734634
81,4939406.04998919
82,4178070.1395330406
83,4489043.168266434
84,5259898.510761073
85,2688795.6797154513
86,4959814.509269707
87,5001827.541587815
88,4005412.535128404
89,3841746.1534613473
90,4691629.30002136
91,4288928.952471759
92,3707753.743106243
93,4315207.5944777075
94,4831031.051702738
95,3726625.647211267
96,4171232.3257056205
97,4336309.367531222
98,4119732.350389039
99,4992837.714582089
100,4674233.287342478
101,3190310.0415530098
102,3730225.704625152
103,3744254.591168573
104,3828456.825291055
105,3432595.298524695
106,4339755.448534472
107,4788486.233731008
108,4533982.590542828
109,4561812.775122127
110,4740397.427662252
111,4520951.728149656
112,4813372.5601895135
113,4093693.5060854144
114,4137651.194735187
115,4662300.721005169
116,3399718.904679098
117,4996764.110868485
118,4098163.0473843385
119,4558501.5222080005
120,4918482.345372764
121,4603866.539646395
122,4608275.368025139
123,5201013.965942152
124,3458481.354321612
125,4263655.952158177
126,4891147.725525382
127,4154639.741502947
128,3945746.23508423
129,5056629.906479433
130,3226877.9883577037
131,5004511.786480365
132,4719251.451532984
133,3483848.784715104
134,4435151.246009085
135,3858356.8676170595
136,4046194.8019582196
137,4362539.811797445
138,4337830.853776102
139,4369517.097090181
140,5005462.156081278
141,3200652.2816675147
142,4547539.686886423
143,3297523.1935305633
144,4716561.949103418
145,3815552.490216366
146,4405934.012543386
147,3861893.781201649
148,4439298.575305056
149,4434226.350681534
150,4271232.312403595
151,3405741.022430491
152,4868809.860627927
153,5207595.359925821
154,3688827.504840479
155,4600283.286521827
156,4729844.702399461
157,4793431.725845819
158,3651927.9829413723
159,4238591.58269421
160,3450970.0520432433
161,4247605.321679668
162,3820491.956742976
163,5739744.465666346
164,4877093.742911389
165,3553970.402060369
166,4299884.500811368
167,3706766.282734392
168,4333082.09521186
169,4914409.520637376
170,4282975.198861699
171,3485534.667251286
172,3703485.5441455473
173,4376974.409582626
174,4833490.157541423
175,3282389.129311271
176,5090824.24888837
177,4440332.980168921
178,4381947.204095818
179,3889296.3988412404
180,4316192.086043131
181,4351264.5718111005
182,4658296.944740114
183,4241038.206031347
184,4602974.172726069
185,3957854.9542629467
186,3792768.744836547
187,5172487.991128191
188,4837411.381073471
189,4553736.172847137
190,4358562.510827631
191,4745808.239279384
192,4641545.929235868
193,4466561.107684619
194,4249576.472747691
195,4920962.814087211
196,4151089.0129085695
197,3014753.85517733
198,3805138.767533483
199,4651839.75320474
200,4141816.1051350497
201,3609852.1565397284
202,4392903.734679417
203,4481709.881805081
204,4603384.209288988
205,4828915.550137097
206,4801084.157671978
207,4271368.487040642
208,4703729.908197575
209,4200399.826201908
210,4722773.825113269
211,4353289.132583246
212,3412884.207683677
213,3529069.0763438093
214,5087203.001157189
215,2638458.87341268
216,4500663.04954805
217,4806752.515179903
218,4641524.118966485
219,3208188.0565566327
220,5186404.525557779
221,4754797.864737661
222,4878045.496296188
223,4300530.719180841
224,4985582.596555278
225,4196328.19814796
226,3681421.0175482864
227,4742327.731963526
228,3728748.6498979917
229,4897243.503033515
230,4381665.133057917
231,4952375.029683165
232,5043649.708166292
233,4028231.1280855807
234,3843812.3006738992
235,4614436.773332206
236,4454072.095453816
237,4069903.0210309103
238,3977731.0698670503
239,4611823.227804489
240,4720091.495494643
241,4272613.071022361
242,3436936.81401594
243,4694949.213547342
244,4542649.531162289
245,4635587.5462870505
246,4291257.415118171
247,4558507.0837657545
248,4393032.642585585
249,4318472.147256073
250,3456538.2340537724
251,4439600.091453091
252,4861104.909461518
253,4391875.688933
254,4493633.460478196
255,4079109.425809428
256,4263434.731775707
257,4086248.05480716
258,3812299.7637301236
259,4313321.149944048
260,4317230.394720737
261,4540144.246513136
262,4755872.585165934
263,4167257.124361286
264,2804864.160984796
265,4941024.618119317
266,4262129.766656464
267,5106462.115322628
268,4547371.618366711
269,4376523.054761879
270,3866252.3557827533
271,2976016.4911029916
272,4750340.61463082
273,4521638.833199417
274,4141886.0674361903
275,5358023.205488563
276,4893435.732076454
277,4472816.68033484
278,4470903.255197923
279,4161309.23451317
280,4681266.140035295
281,3754352.3450870235
282,3693406.5688918866
283,4160838.7277117088
284,4538478.5714288335
285,3220628.5478858235
286,4839904.25858734
287,4123015.9039836084
288,4327726.118424782
289,3936516.580841588
290,4203153.450726145
291,4451516.517168087
292,3510700.065776728
293,4882663.000113749
294,3740228.231218661
295,5242406.509609772
296,4815147.716610518
297,5043022.329629941
298,4238832.567015058
